BillboardTitle,BillboardArtist,OriginChart,peakpos_alltime,weeksonchart_alltime,MyPart_id,Song Form,Pre-Chorus Section Lyrics,Tempo,Song Length,Vocal vs. Instrumental Prevalence,First Section Type,Intro Length,"Intro (Instrumental, Vocal)",Verse Count,Pre-Chorus Count,Chorus Count,Vocal Post-Chorus Count,Departure Section,Last Section Type,Outro Length,"Outro (Instrumental, Vocal)",Number of Distinct Sections,Melodic Interval Prevalence,Main Melodic Range (tones),Main Melodic Range,Number of Melodic Themes,Key,"Key (Major, Minor, Major Mode, Minor Mode)",Use of Parallel Mode,%Diatonic Chords,Chord Repetition,Use of Triads,Use of Inverted Chords,Use of 7th Chords,Use of Major 7th Chords,Chord Degree Prevalence,Timbre,Predominantly Acoustic vs Electronic,Prominent Instruments,Song Title Word Count,Song Title Appearances,Person References,Location References,Organization or Brand References,Consumer Goods References,Creative Works Title References,Literal Experiences vs. Abstract,Lyrical Sub Themes defining Lyrical Themes,Lyrical Moods,Use of In-Line Lyric Repetition,Line Repetition,Overall Repetitiveness,Average Word Repetition (Full Song),Common Words Prevalence 1k,Common Words Prevalence 10k,Common Words Prevalence 50k,%Slang Words,%Abbreviations,%Non Dictionary Words,%Profanity Words,Average Consonance Alliteration,Average Assonance Alliteration,Rhyme Density,Percentage of Rhyming Syllables,Average Rhymes per Line,Number Of Rhyme Groups In The Song By ELR,End-of-Line Perfect Rhyme Percentage,End-of-Line Secondary Perfect Rhyme Percentage,End-of-Line Assonance Rhyme Percentage,End-of-Line Consonance Rhyme Percentage,Perfect Rhyme Percentage,Secondary Perfect Rhyme Percentage,Assonance Rhyme Percentage,Consonance Rhyme Percentage,End-of-Line Rhyme Percentage,Mid-Line Rhyme Percentage,Internal Rhyme Percentage,Mid-Word Rhyme Percentage,Lyrical Density,Average Number of Words per Line,Primary Genre,Sub-Genres,Influences,Production Mood,Danceability,Loudness Range
679,Fetty Wap Featuring Remy Boyz,hot-100,4,40,[FettyWapFeaturingRemyBoyz].679,ABABC,No Pre-Chorus,94.90719604,3:16,Vocals Prevalence,Intro,0:00,No Intro,3,0,3,0,1,Outro,0:00,No Outro,4,"%P1-%m2, %M2-%m3, %M3-%P5",10,Mixed-Horizontal,1,B Minor,Minor,1,0.584070796,3.054054054,0.274336283,0.14159292,0.433628319,0.123893805,"%IV, %V",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",1,1,0.100358423,0.010752688,0.016129032,0.005376344,0.001792115,Both,"Romantic, Boasting, Lifestyle","Dramatic, Cynical, Happy, Reluctance, Detached",0.003703704,0.224719101,0.427372263,2.753694581,0.568027211,0.765306122,0.972789116,0.007155635,0.019677996,0.085867621,0.010733453,0.458144144,0.197197288,0.376586742,0.193229901,1.539325843,0.239669421,0.178082192,0,0.136986301,0.04109589,0.281553398,0,0.242718447,0.067961165,0.708737864,0.429752066,0.049586777,0.174698795,2.49883775,5.673469388,Hip Hop/Rap,Hip Hop/Rap,Trap,"Happy, Party, Relaxed",0.997696698,2.461159706
...Ready For It?,Taylor Swift,hot-100,4,20,[TaylorSwift].ReadyForIt,A-PC-B,Lyrically Identical,161.5853119,3:28,Vocals Prevalence,Intro,0:11,Instrumental,2,3,3,2,1,Outro,0:00,No Outro,6,"%P1-%m2, %M2-%m3, %M3-%P5",5.5,Horizontal,4,G Major,Major,0,0.764705882,4.722222222,0.576470588,0.047058824,0.341176471,0.058823529,"%I, %II, %IV, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",3,5,0.053811659,0.013452915,0,0,0,Both,"Infatuation, Love, Romantic, Egocentric, Sex, Success, Materialized Dream, Yearning for Social company, Friendship","Cynical, Nostalgic, Happy, Sad",0.050847458,0.259887006,0.347056008,3.461538462,0.696969697,0.883838384,0.974747475,0.006666667,0.022222222,0.004444444,0,0.647481926,0.229206349,0.314851485,0.114851485,0.983050847,0.327272727,0.264705882,0,0.029411765,0.058823529,0.354166667,0.041666667,0.0625,0.041666667,0.708333333,0.327272727,0.090909091,0.216216216,2.134076941,6.217391304,Pop,Pop,Teen Pop,Party,0.998672903,5.511508942
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hot-100,3,42,[LogicFeaturingAlessiaCaraAndKhalid].1-800-273-8255,A-PC-B,Lyrically Identical,99.84001923,4:10,Instruments Prevalence,Intro,0:29,Instrumental,2,0,3,2,1,Outro,0:29,Vocal,8,"%P1-%m2, %M2-%m3, %M3-%P5",11.5,Mixed-Vertical,3,F Aeolian,Aeolian,0,0.961832061,10.48,0.484732824,0.026717557,0.267175573,0.183206107,"%I, %III, %IV, %V, %VI, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, String Section, Piano",1,0,0.011070111,0.005535055,0,0,0,Both,"Egocentric, Religion or Spirituality","Cynical, Nostalgic, Happy, Reluctance, Anger, Sad, Bitter",0,0.169398907,0.338389732,3.602649007,0.562737643,0.74904943,0.863117871,0,0.071691176,0.001838235,0.001838235,1.589189525,1.246322751,0.450155763,0.199376947,2.098360656,0.138211382,0.068181818,0,0.545454545,0,0.109375,0,0.5,0.046875,0.6875,0.430894309,0.06504065,0.117241379,1.295409306,7.492957746,R&B/Soul,"Pop, Rock, R&B/Soul","R&B, R&B Pop","Relaxed, Melancholic",2.75E-06,14.15851116
"10,000 Hours",Dan + Shay & Justin Bieber,hot-100,4,30,[DanAndShayAndJustinBieber].10000Hours,AAA,No Pre-Chorus,90.04438782,2:47,Vocals Prevalence,Verse,0:00,No Intro,1,0,0,0,1,Outro,0:29,Instrumental,3,"%P1-%m2, %M2-%m3, %M3-%P5",11,Mixed-Vertical,1,Bb Major,Major,0,0.988095238,7,0.392857143,0.035714286,0.30952381,0.035714286,"%I, %IV, %VI",Primarily Bright,Primarily Electronic,"Guitar, Bass Prevalence, Drums/Perc Prevalence, String Section, Piano",2,0,0.009404389,0.003134796,0.003134796,0,0.003134796,Both,"Infatuation, Love, Romantic, Egocentric, Hedonism, Introspection, Yearning for Social company, Friendship","Optimistic, Nostalgic, Happy, Reluctance, Sad, Positive, Bitter",0.138888889,0.416666667,0.320050601,3.584269663,0.5,0.806818182,0.892045455,0,0.05015674,0.097178683,0,3.226370851,1.527083333,0.221893491,0.133136095,1.25,0.382352941,0.111111111,0,0,0,0.24,0,0.56,0.04,0.36,0.911764706,0.117647059,0.296875,1.812335242,7.72972973,Pop,"Pop, Country","Teen Pop, Classic Pop",Relaxed,0.78027004,6.037147999
24K Magic,Bruno Mars,hot-100,4,41,[BrunoMars].24KMagic,A-PC-B,Lyrically Identical,106.9716644,3:45,Instruments Prevalence,Intro,0:00,No Intro,2,2,3,0,1,Outro,0:55,Vocal,5,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",17.5,Vertical,5,F Aeolian,Aeolian,0,0.718120805,3.547619048,0.228187919,0.120805369,0.563758389,0.161073826,"%I, %IV, %VI, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",3,0,0.057815846,0.023554604,0.010706638,0.002141328,0.002141328,Abstract,"Romantic, Boasting, Lifestyle","Dramatic, Cynical, Anger, Sad, Bitter",0.042635659,0.203463203,0.374356775,2.974522293,0.476190476,0.835164835,0.901098901,0.010706638,0.032119914,0.042826552,0.00856531,0.382043614,0.287800866,0.240150094,0.097560976,0.675324675,0.607843137,0.055555556,0,0.166666667,0,0.264705882,0,0.264705882,0,0.529411765,0.431372549,0.058823529,0.358024691,2.06060927,4.781609195,Pop,"Dance/Club/Electronic, Pop, Rock",Alternative Pop,Party,0.997731447,5.116213799
34+35,Ariana Grande,hot-100,2,26,[ArianaGrande].34And35,,,110.0325775,2:53,Vocals Prevalence,Intro,0:25,No Intro,4,,,,0,Outro,0:25,No Outro,2,,,,,F Major,Major,1,0.637795276,2.953488372,0.283464567,0.181102362,0.464566929,0.149606299,"%I, %V",Primarily Bright,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",2,0,,,,,,,"Romantic, Sex","Dramatic, Reluctance, Positive, Bitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pop,Pop,R&B Pop,"Happy, Party",0.88152045,10.01928711
7 Rings,Ariana Grande,hot-100,1,36,[ArianaGrande].7Rings,ABABC,No Pre-Chorus,139.8869019,2:58,Vocals Prevalence,Intro,0:15,Instrumental,3,0,3,0,1,Outro,0:15,Instrumental,8,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",11.5,Mixed-Vertical,3,C# Minor,Minor,0,0.712643678,3.346153846,0.448275862,0.103448276,0.379310345,0.183908046,"%I, %IV, %V, %VI",Primarily Dark,Primarily Electronic,Drums/Perc Prevalence,2,0,0.024539877,0.00408998,0.006134969,0.006134969,0.00204499,Literal,"Egocentric, Boasting, Lifestyle, Yearning for Social company, Drugs or Alcohol Use or Alcohol Use","Cynical, Optimistic, Happy, Sad, Detached",0.02,0.093333333,0.438565807,2.643243243,0.606694561,0.878661088,0.958158996,0,0.032719836,0.008179959,0.008179959,1.210180745,0.672860863,0.417142857,0.171428571,1.8,0.172413793,0.111111111,0,0.388888889,0.027777778,0.196721311,0,0.409836066,0.049180328,0.590163934,0.425287356,0.091954023,0.158878505,2.644043602,8,Pop,Pop,R&B Pop,"Party, Relaxed, Melancholic",0.66694504,4.026917458
7 Summers,Morgan Wallen,hot-100,6,24,[MorganWallen].7Summers,ABABC,No Pre-Chorus,101.9914932,3:30,Vocals Prevalence,Intro,0:00,No Intro,3,0,3,0,0,Chorus,0:00,No Outro,3,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",11.5,Mixed-Vertical,4,C Major,Major,0,0.988888889,5.625,0.166666667,0.055555556,0.633333333,0.311111111,"%I, %II, %IV, %V, %VI",Primarily Bright,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, String Section, Guitar, Piano",2,0,0.034582133,0.048991354,0.017291066,0,0.014409222,Both,"Success, Boasting, Holiday or Festivity, Yearning for Social company, Family",Other,0.023391813,0.538011696,0.33496732,2.825396825,0.569892473,0.903225806,0.919354839,0,0.019662921,0.064606742,0,0.526129137,0.374848435,0.209401709,0.115384615,0.947368421,0.306122449,0.19047619,0,0.619047619,0,0.095238095,0.023809524,0.619047619,0.071428571,0.5,0.387755102,0.163265306,0.55,1.613897654,5.169230769,Country,"Rock, Country","Modern Country, Country Ballad","Relaxed, Melancholic",0.004817441,5.117462635
7 Years,Lukas Graham,hot-100,2,36,[LukasGraham].7Years,ABAB,No Pre-Chorus,120.0014267,3:57,Vocals Prevalence,Intro,0:21,Instrumental,2,0,3,0,1,Outro,0:21,Vocal,6,"%P1-%m2, %M2-%m3, %M3-%P5",9,Mixed-Horizontal,2,Bb Major,Major,1,0.935251799,6.619047619,0.582733813,0.050359712,0.208633094,0.136690647,"%I, %IV, %V, %VI",Mixed,Primarily Acoustic,"Bass Prevalence, Piano, String Section",2,0,0.047619048,0.009070295,0,0,0.011337868,Literal,"Sex, Success, Materialized Dream, Holiday or Festivity, Lifestyle, Religion or Spirituality, Yearning for Social company, Friendship, Family","Cynical, Optimistic, Nostalgic, Happy, Positive",0.006666667,0.095238095,0.421522556,2.656626506,0.725118483,0.924170616,0.962085308,0,0.002267574,0,0,0.974205116,0.735419422,0.390423573,0.17679558,1.959183673,0.096774194,0.481481481,0,0.333333333,0,0.430555556,0,0.416666667,0.013888889,0.375,0.537634409,0.172043011,0.28358209,1.843398876,7.196721311,Pop,Pop,Classic Pop,Relaxed,0.616261542,13.92809105
95.south,J. Cole,hot-100,8,3,[JCole].95South,ABAB,,71.9189987,3:13,Vocals Prevalence,Intro,0:10,No Intro,2,0,0,,1,Outro,0:10,No Outro,1,,,,,D Aeolian,Aeolian,0,0.66,2.380952381,0.58,0.1,0.34,0.1,"%I, %IV",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",2,0,,,,,,,"Success, Boasting, Lifestyle, Religion or Spirituality, Drugs or Alcohol Use or Alcohol Use","Dramatic, Cynical, Detached",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hip Hop/Rap,Hip Hop/Rap,Alternative Hip Hop,Other,0.797948897,7.755436897
