Song,Artist,Hook Based Intro (All),Instrumental Hook (All),Instrumental Hook (Foundational),Instrumental Hook (Melodic),Instrumental Hook (Hip Hop Beat),Vocal Hook (All),Vocal Hook (Lead Vocal),Vocal Hook (Background/Embellishment),Vocal Hook (Hip Hop Beat)
Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,X,X,X,,,,,,
F**kin' Problems,"A$AP Rocky featuring 2 Chainz, Drake, Kendrick Lamar",X,,,,,X,,,X
Started From The Bottom,Drake,X,X,,,X,,,,
Thrift Shop,Macklemore & Ryan Lewis featuring Wanz,X,X,,,X,,,,
Anaconda,Nicki Minaj,X,,,,,X,X,,
Black Widow,Iggy Azalea featuring Rita Ora,X,X,,,X,,,,
Fancy,Iggy Azalea featuring Charli XCX,X,X,,,X,,,,
Hot Boy,Bobby Shmurda,X,X,,,X,,,,
Loyal,"Chris Brown featuring French Montana, Lil Wayne",X,X,,,X,,,,
679,Fetty Wap feat. Remy Boyz,X,X,,,X,,,,
My Way,Fetty Wap featuring Monty,X,X,,,X,,,,
Nasty Freestyle,T-Wayne,X,X,,,X,,,,
Watch Me,Silento,X,X,,X,,,,,
Black Beatles,Rae Sremmurd featuring Gucci Mane,X,X,,X,,,,,
Broccoli,D.R.A.M. featuring Lil Yachty,X,,,,,X,X,,
Deja Vu,J. Cole,X,,,,,X,,,X
Don't Mind,Kent Jones,X,X,,,X,,,,
Juju On That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",X,X,,,X,,,,
"Me, Myself & I",G-Eazy featuring Bebe Rexha,X,,,,,X,,X,
Bodak Yellow,Cardi B,X,X,,,X,,,,
Congratulations,Post Malone featuring Quavo,X,X,,X,,,,,
Gucci Gang,Lil Pump,X,X,,X,,,,,
I'm The One,"DJ Khaled featuring Chance The Rapper, Justin Bieber, Lil Wayne, Quavo",X,X,,X,,,,,
Portland,"Drake featuring Quavo, Travis Scott",X,X,,,X,,,,
Rake It Up,Yo Gotti featuring Nicki Minaj,X,X,,,X,,,,
Tunnel Vision,Kodak Black,X,X,,,X,,,,
Unforgettable,French Montana featuring Swae Lee,X,X,,X,,,,,
XO TOUR Lif3,Lil Uzi Vert,X,X,,,X,,,,
Chun-Li,Nicki Minaj,X,X,,,X,,,,
Drip Too Hard,"Gunna, Lil Baby",X,X,,,X,,,,
Emotionless,Drake,X,,,,,X,,,X
Freaky Friday,Lil Dicky featuring Chris Brown,X,X,X,,,,,,
God's Plan,Drake,X,,,,,X,X,,
Going Bad,Meek Mill featuring Drake,X,X,,,X,,,,
I Like It,"Bad Bunny, Cardi B, J Balvin",X,X,,,X,X,,X,
I Love It (Kanye West & Lil Pump),"Kanye West, Lil Pump",X,X,,,X,,,,
KOD,J. Cole,X,X,,,X,,,,
Look Alive,BlocBoy JB featuring Drake,X,X,,,X,,,,
Lucid Dreams,Juice WRLD,X,X,,,X,,,,
Lucky You,Eminem featuring Joyner Lucas,X,X,,,X,,,,
Mo Bamba,Sheck Wes,X,X,,,X,,,,
Nice For What,Drake,X,,,,,X,,,X
No Brainer,"DJ Khaled featuring Chance The Rapper, Justin Bieber, Quavo",X,X,,X,,,,,
Sad!,XXXTentacion,X,X,,X,,,,,
Sicko Mode,Travis Scott,X,X,,X,,,,,
Stir Fry,Migos,X,X,,X,,,,,
Taste,Tyga featuring Offset,X,,,,,X,,,X
This Is America,Childish Gambino,X,,,,,X,,X,
Walk It Talk It,Migos featuring Drake,X,X,,,X,,,,
Yes Indeed,"Drake, Lil Baby",X,X,,,X,,,,
ZEZE,"Kodak Black featuring Offset, Travis Scott",X,X,,,X,,,,
Bandit,"Juice WRLD, YoungBoy Never Broke Again",X,X,,,X,,,,
Follow God,Kanye West,X,,,,,X,,X,
Futsal Shuffle 2020,Lil Uzi Vert,X,X,,X,X,,,,
HIGHEST IN THE ROOM,Travis Scott,X,X,,X,,,,,
Middle Child,J. Cole,X,X,,,X,,,,
Money In The Grave,Drake featuring Rick Ross,X,X,,,X,,,,
Old Town Road,Lil Nas X featuring Billy Ray Cyrus,X,X,,,X,X,,X,
Panini,Lil Nas X,X,X,,,X,X,X,,
Ran$om,Lil Tecca,X,X,,,X,,,,
Suge,DaBaby,X,X,,,X,,,,
Thotiana,Blueface,X,X,,,X,X,X,,
Truth Hurts,Lizzo,X,X,,,X,,,,
The Box,Roddy Ricch,X,,,,,X,,,X
Applause,Lady Gaga,X,X,X,,,,,,
Best Song Ever,One Direction,X,X,X,,,,,,
Blurred Lines,"Robin Thicke featuring Pharrell Williams, T.I.",X,,,,,X,,X,
Come & Get It,Selena Gomez,X,,,,,X,,X,
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,X,X,X,,,,,,
Don't You Worry Child,Swedish House Mafia featuring John Martin,X,X,X,,,,,,
Gangnam Style,PSY,X,X,X,,,X,X,,
Gentleman,PSY,X,X,,X,,,,,
Harlem Shake,Baauer,X,X,,X,,X,X,,
Ho Hey,The Lumineers,X,,,,,X,,X,
"Hold On, We're Going Home",Drake feat. Majid Jordan,X,,,,,X,,X,
Just Give Me A Reason,Pink featuring Nate Ruess,X,X,,X,,,,,
Let Her Go,Passenger,X,X,,X,,,,,
Locked Out Of Heaven,Bruno Mars,X,X,,X,,X,X,,
Mirrors,Justin Timberlake,X,X,X,,,,,,
One More Night,Maroon 5,X,,,,,X,X,,
Radioactive,Imagine Dragons,X,,,,,X,,X,
The Fox,Ylvis,X,X,,X,,,,,
Timber,Pitbull featuring Kesha,X,X,,X,,,,,
Try,Pink,X,X,,X,,,,,
We Can't Stop,Miley Cyrus,X,,,,,X,,X,
Wrecking Ball,Miley Cyrus,X,X,X,,,,,,
Ain't It Fun,Paramore,X,X,,X,,,,,
Am I Wrong,Nico & Vinz,X,X,X,,,X,,X,
Blank Space,Taylor Swift,X,X,,X,,,,,
Boom Clap,Charli XCX,X,,,,,X,X,,
Dark Horse,Katy Perry featuring Juicy J,X,X,,X,,,,,
Don't,Ed Sheeran,X,,,,,X,,X,
Don't Tell 'Em,Jeremih featuring YG,X,X,,,X,,,,
Drunk In Love,Beyonce featuring Jay Z,X,,,,,X,,X,
Habits (Stay High),Tove Lo,X,,,,,X,,X,
I'm Not The Only One,Sam Smith,X,X,X,,,,,,
Latch,Disclosure featuring Sam Smith,X,,,,,X,,X,
Let It Go,Idina Menzel,X,X,X,,,,,,
Not A Bad Thing,Justin Timberlake,X,X,,X,,,,,
Pompeii,Bastille,X,,,,,X,,X,
Problem,Ariana Grande featuring Iggy Azalea,X,X,,X,,X,X,,
Rather Be,Clean Bandit featuring Jess Glynne,X,X,X,,,,,,
Shake It Off,Taylor Swift,X,X,X,,,,,,
Talk Dirty,Jason Derulo featuring 2 Chainz,X,X,X,,,,,,
Turn Down For What,"DJ Snake, Lil Jon",X,,,,,X,X,,
Uptown Funk!,Mark Ronson featuring Bruno Mars,X,,,,,X,,X,
Wiggle,Jason Derulo featuring Snoop Dogg,X,,,,,X,X,X,
Centuries,Fall Out Boy,X,,,,,X,,X,
Ex's & Oh's,Elle King,X,X,X,,,,,,
Hey Mama,"David Guetta featuring Afrojack, Bebe Rexha, Nicki Minaj",X,,,,,X,,X,
Hotline Bling,Drake,X,,,,,X,X,,
Photograph,Ed Sheeran,X,X,,X,,,,,
Same Old Love,Selena Gomez,X,X,X,,,,,,
