679	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Intro
679	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 1
679	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
679	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Outro
679	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Verse 2
679	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Verse 3
679	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
679	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Hands To Myself	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Hands To Myself	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Hands To Myself	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Hands To Myself	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Hands To Myself	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Hands To Myself	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Hands To Myself	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Hands To Myself	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
I Took A Pill In Ibiza (Seeb Remix)	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals	Pre-Chorus 1
I Took A Pill In Ibiza (Seeb Remix)	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
I Took A Pill In Ibiza (Seeb Remix)	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Inst. Break 1
I Took A Pill In Ibiza (Seeb Remix)	Background Vocals,Repeat/Call and Response Vocals	Pre-Chorus 2
I Took A Pill In Ibiza (Seeb Remix)	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
I Took A Pill In Ibiza (Seeb Remix)	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Inst. Break 2
Ain't It Fun	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Ain't It Fun	Background Vocals	Chorus 1
Ain't It Fun	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals	Bridge 1
Ain't It Fun	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Outro
Ain't It Fun	Background Vocals,Creatively Sung Vocals	Verse 2
Ain't It Fun	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Ain't It Fun	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 2
Ain't It Fun	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 3
All About That Bass	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 1
All About That Bass	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
All About That Bass	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals	Chorus 1
All About That Bass	Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Outro
All About That Bass	Background Vocals	Verse 2
All About That Bass	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
All About That Bass	Background Vocals,Repeat/Call and Response Vocals	Chorus 2
All About That Bass	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
All Of Me	Background Vocals,Creatively Sung Vocals,Standout Title Vocal,Pitch-Processed Vocal	Chorus 2
All Of Me	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Standout Title Vocal,Pitch-Processed Vocal	Chorus 3
Animals 	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Animals 	Background Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Animals 	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal,Scream	Bridge 1
Animals 	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Animals 	Background Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Animals 	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 3
