Song Title,Imprint,Label
Applause,Streamline,Interscope
Beauty & A Beat,SchoolBoy/Raymond Braun,Island 
Best Song Ever,,SYCO
Berzerk,Shady,Aftermath
Blurred Lines,Star Trak,Interscope
Can't Hold Us,,Macklemore
Clarity,,Interscope
Come And Get It,,Hollywood
Cruise,Republic Nashville,Republic
Cups (Pitch Perfect's When I'm Gone),UMe,Republic
Daylight,A&M,Octone 
Diamonds,SRP,Def Jam
Die Young,,Kemosabe
Don't You Worry Child,,Astralwerks
Dope,Streamline,Interscope
F**kin' Problems,A$AP Worldwide/Polo Grounds,RCA
Feel This Moment,Mr. 305/Polo Grounds,RCA
Gentleman,,Republic
Get Lucky,Daft Life,Columbia
Harlem Shake,Jeffree's,Mad Decent
Heart Attack,,Hollywood 
Ho Hey,,Dualtone
"Hold On, We're Going Home",,Republic
Holy Grail,Roc-A-Fella,Universal
Home,19,Interscope
I Cry, Poe Boy,Atlantic
I Knew You Were Trouble,Big Machine,Republic
I Love It,,TEN
Just Give Me A Reason,,RCAæ
Locked Out Of Heaven,,Atlantic
Love Me,Young Money,Cash Money
Love Somebody,,Octone
Mirrors,,RCA
One More Night,,Octone
Radioactive,KIDinaKORNER,Interscope
Rap God,Shady,Aftermath
Safe & Sound,Lazy Hooks,Capitol
Scream & Shout,will.i.am,Interscope
Started From The Bottom,Young Money,Cash Money
Stay ,SRP,Def Jam
Suit & Tie,,RCA
Summertime Sadness,Polydor,Interscope
Sweet Nothing,,Roc Nation
The Fox,Concorde/45th & 3rd,Parlophone
The Way,,Republic
Thrift Shop,Macklemore,Macklemore
Treasure,,Atlantic
Try ,,RCA
We Can't Stop,,RCA
When I Was Your Man,,Atlantic
