First Name,Middle Name,Last Name,Stage Name,Date of Birth (mm/dd/yyyy),City,Country,Wikipedia URL,Artist's Ste URL
Will,,Adams,will.i.am,3/15/75,Los Angeles,United States,https://en.wikipedia.org/wiki/Will.i.am,http://will.i.am/
Christina,Maria,Aguilera,Christina Aguilera,12/18/80,New York,United States,https://en.wikipedia.org/wiki/Christina_Aguilera,http://www.christinaaguilera.com/
Majid,Hani,Al-Maskati,,,,,,
Steve,Angello Josefsson,Fragogiannis  ,Steve Angello,11/22/82,Athens,Greece,https://en.wikipedia.org/wiki/Steve_Angello,http://www.steveangello.com/
Matthew,,Bair,Matthew Koma,6/2/87,Brooklyn,United States,https://en.wikipedia.org/wiki/Matthew_Koma,http://matthewkoma.com/
Thomas,,Bangalter,Thomas Bangalter,1/3/75, Paris,France,https://en.wikipedia.org/wiki/Thomas_Bangalter,
Thibaut,Michel Jean Marie,Berland,Breakbot,10/5/81,,France,https://en.wikipedia.org/wiki/Breakbot,
Jeff,,Bhasker,Billy Kraven,,Kansas City,United States,https://en.wikipedia.org/wiki/Jeff_Bhasker,
Dania,Maria,Birks,,,,,,
Paul,Edward,Blair,,,,,,
Nicholas,Andrew Guy,Boundy,,,,,,
Phredley,,Brown,,,,,,
Vincent,E,Brown,,,,,,
Juana,Michelle,Burns,,,,,,
Michael,James Ryan,Busbee,Busbee,,,,https://en.wikipedia.org/wiki/Busbee,www.busbeemusic.com
Alvin,Pleasant Delaney,Carter,A. P. Carter,12/15/1891,Maces Spring,United States,https://en.wikipedia.org/wiki/A._P._Carter,
Dwayne,Michael,Carter Jr.,Lil Wayne,9/27/82,New Orleans,United States,https://en.wikipedia.org/wiki/Lil_Wayne,
James,W,Castor,Jimmy Castor,6/23/40,Manhattan,United States,https://en.wikipedia.org/wiki/Jimmy_Castor,
Kurt,Donald,Cobain,Kurt Cobain,2/20/67,Aberdeen,United States,https://en.wikipedia.org/wiki/Kurt_Cobain,
William,Michael,Coleman,Mike Zombie,7/8/92,Willingboro,United States,https://en.wikipedia.org/wiki/Mike_Zombie,
Anthony,,Criss ,Treach,12/2/70,East Orange,United States,https://en.wikipedia.org/wiki/Treach,www.naughtybynature.com
Scott,Michael,Cutler,Scott Cutler,,Chicago,United States,https://en.wikipedia.org/wiki/Scott_Cutler,
Douglas,L,Davis,,,,,,
Guillaume,Emmanuel,de Homem-Christo,Guy-Manuel de Homem-Christo,2/8/74, Paris,France,https://en.wikipedia.org/wiki/Guy-Manuel_de_Homem-Christo,
Matthew,,Delgiorno,,,,,,
Sean,,Douglas,Sean Douglas,5/27/83,Los Angeles,https://en.wikipedia.org/wiki/Sean_Douglas_(songwriter),,
Edward,James,Drewett,Ed Drewett,4/1/88,Essex,United Kingdom,https://en.wikipedia.org/wiki/Ed_Drewett,http://www.eddrewett.co.uk/
John,Stephen,Sudduth,Mikky Ekko,12/17/84,Shreveport,United States,https://en.wikipedia.org/wiki/Mikky_Ekko,www.mikkyekko.com
Linus,,Eklsw,Style of Eye,8/29/79,Stockholm,Sweden,https://en.wikipedia.org/wiki/Style_of_Eye,styleofeye.se
James,Edward,Fauntleroy II,James Fauntleroy,5/16/84,Inglewood,United States,https://en.wikipedia.org/wiki/James_Fauntleroy,
Jeremy,Caleb,Fraites,,,,,,
Langdon,,Fridie,,,,,,
Magne,,Furuholmen,Mags,11/1/62,Oslo,Norway,https://en.wikipedia.org/wiki/Magne_Furuholmen,magnef.org
Stephen,Ellis,Garrett,Static Major,11/11/74,Louisville,United States,https://en.wikipedia.org/wiki/Static_Major,
Stefani,Joanne Angelina ,Germanotta,Lady Gaga,3/28/86,Manhattan,United States,https://en.wikipedia.org/wiki/Lady_Gaga,
Luisa,,Gerstein,,,,,,
Keir,Lamont,Gist,,,,,,
Christopher ,L,Godbey,,,,,,
Alexander,,Grant,Alex da Kid,8/27/82,Bristol,United Kingdom,https://en.wikipedia.org/wiki/Alex_da_Kid,
David,Eric,Grohl,Dave Grohl,1/14/69,Warren,United States,https://en.wikipedia.org/wiki/Dave_Grohl,
Stephen,,Hacker,,,,,,
Holly,Brook ,Hafermann ,Skylar Grey,2/23/86,Mazomanie,United States,https://en.wikipedia.org/wiki/Skylar_Grey,www.skylargreymusic.com
Ben,,Haggerty,Macklemore,6/19/83,Seattle,United States,https://en.wikipedia.org/wiki/Macklemore,macklemore.com
Morten,,Harket,Morten Harket,9/14/59,Kongsberg,Norway,https://en.wikipedia.org/wiki/Morten_Harket,
Jerome,,Harmon,J-Roc,,Fort Worth,United States,https://en.wikipedia.org/wiki/J-Roc_(record_producer),www.jeromeharmonproductions.com
Cornell,Iral ,"Haynes, Jr.",Nelly,11/2/74,Austin,United States,https://en.wikipedia.org/wiki/Nelly,Nelly.net
Wayne,,Hector,Wayne Hector,,,,https://en.wikipedia.org/wiki/Wayne_Hector,
