Song Title,Lyrics Link,Youtube Link,iTunes Link,Spotify Link,,,
Best Song Ever,http://www.azlyrics.com/lyrics/onedirection/bestsongever.html,https://www.youtube.com/watch?v=o_v9MY_FMcw,https://geo.itunes.apple.com/us/album/best-song-ever-from-this-is-us/id671067308?i=671067497&mt=1&app=music,https://open.spotify.com/track/4VL2XUsn5dHQYdf5nPHGdM,,,
Berzerk,http://www.azlyrics.com/lyrics/eminem/berzerk.html,https://www.youtube.com/watch?v=ab9176Srb5Y,https://geo.itunes.apple.com/us/album/berzerk/id731756766?i=731756774&mt=1&app=music,https://open.spotify.com/track/3dkKXwgAmYTf2TwYds2E12,,,
Can't Hold Us,http://www.azlyrics.com/lyrics/macklemore/cantholdus.html,https://www.youtube.com/watch?v=2zNSgSzhBfM,https://geo.itunes.apple.com/us/album/cant-hold-us-feat.-ray-dalton/id560097651?i=560097694&mt=1&app=music,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,,,
Clarity,http://www.azlyrics.com/lyrics/zedd/clarity.html,https://www.youtube.com/watch?v=IxxstCcJlsc,https://geo.itunes.apple.com/us/album/clarity-feat.-foxes/id565825194?i=565825199&mt=1&app=music,https://open.spotify.com/track/60wwxj6Dd9NJlirf84wr2c,,,
Come And Get It,http://www.azlyrics.com/lyrics/selenagomez/comegetit.html,https://www.youtube.com/watch?v=n-D1EB74Ckg,https://geo.itunes.apple.com/us/album/come-get-it/id656454307?i=656454388&mt=1&app=music,https://open.spotify.com/track/7Gkphzdh5ouurEt7JT49Yu,,,
Cruise,http://www.azlyrics.com/lyrics/floridageorgialine/cruise.html,https://www.youtube.com/watch?v=8PvebsWcpto,https://geo.itunes.apple.com/us/album/cruise/id580703314?i=580703315&mt=1&app=music,https://open.spotify.com/track/0i5el041vd6nxrGEU8QRxy,,,
Cups (Pitch Perfect's When I'm Gone),http://www.azlyrics.com/lyrics/annakendrick/cupspitchperfectswhenimgone.html,https://www.youtube.com/watch?v=cmSbXsFE3l8,https://geo.itunes.apple.com/us/album/cups-pitch-perfects-when-im/id628508246?i=628508247&mt=1&app=music,https://open.spotify.com/track/2sCl0FFOzZSmYZs90zOpd1,,,
Get Lucky,http://www.azlyrics.com/lyrics/daftpunk/getlucky.html,https://www.youtube.com/watch?v=5NV6Rdv1a3I,https://geo.itunes.apple.com/us/album/get-lucky-feat.-pharrell-williams/id617154241?i=617154366&mt=1&app=music,https://open.spotify.com/track/69kOkLUCkxIZYexIgSG8rq,,,
Just Give Me A Reason,http://www.azlyrics.com/lyrics/pink/justgivemeareason.html,https://www.youtube.com/watch?v=OpQFFLBMEPI,https://geo.itunes.apple.com/us/album/just-give-me-reason-feat./id545398133?i=545398139&mt=1&app=music,https://open.spotify.com/track/4VC5nFbYO4avKksJ9jN4pY,,,
Love Somebody,http://www.azlyrics.com/lyrics/maroon5/lovesomebody.html,https://www.youtube.com/watch?v=MU8B4XDI3Uw,https://geo.itunes.apple.com/us/album/love-somebody/id536292140?i=536292498&mt=1&app=music,https://open.spotify.com/track/12tUCBq7V9qCF8qGOLpcnu,,,
Mirrors,http://www.azlyrics.com/lyrics/justintimberlake/mirrors.html,https://www.youtube.com/watch?v=uuZE_IRwLNI,https://geo.itunes.apple.com/us/album/mirrors/id598391518?i=598391850&mt=1&app=music,https://open.spotify.com/track/2JZKXgq5zsokN01KWyiY6n,,,
Radioactive,http://www.azlyrics.com/lyrics/imaginedragons/radioactive.html,https://www.youtube.com/watch?v=ktvTqknDobU,https://geo.itunes.apple.com/us/album/radioactive/id555694735?i=555694740&mt=1&app=music,https://open.spotify.com/track/4G8gkOterJn0Ywt6uhqbhp,,,
The Way,http://www.azlyrics.com/lyrics/arianagrande/theway.html,https://www.youtube.com/watch?v=_sV0S8qWSy0,https://geo.itunes.apple.com/us/album/the-way-feat.-mac-miller/id685066067?i=685066515&mt=1&app=music,https://open.spotify.com/track/06EL94D0TA27Ik0Ke5usbj,,,
